;Pedido;Categoria;Cidade;Tipo Consumidor;Genero;Linha de Produtos;Preço Unitário;Quantidade;Taxa de 5%;Total;Data;Hora;Forma de Pagamento;CMV;(%)margem bruta;Renda Bruta;Classificação
154;400-89-4171;C;Rio de Janeiro;Normal;Feminino;Esportes e viagens;80.97;8;32.388;680.148;28/01/2019;13:05;Dinheiro;647.76;4.761.904.762;32.388;9.3
155;782-95-9291;A;Belo Horizonte;Membro;Masculino;Alimentos e bebidas;92.29;5;230.725;4.845.225;20/02/2019;15:55;Crédito;461.45;4.761.904.762;230.725;9
156;279-74-2924;B;São Paulo;Membro;Masculino;Acessórios eletrônicos;72.17;1;36.085;757.785;04/01/2019;19:40;Dinheiro;72.17;4.761.904.762;36.085;6.1
157;307-85-2293;B;São Paulo;Normal;Masculino;Casa e estilo de vida;50.28;5;12.57;263.97;07/03/2019;13:58;Débito;251.4;4.761.904.762;12.57;9.7
158;743-04-1105;B;São Paulo;Membro;Masculino;Saúde e beleza;97.22;9;43.749;918.729;30/03/2019;14:43;Débito;874.98;4.761.904.762;43.749;6
159;423-57-2993;B;São Paulo;Normal;Masculino;Esportes e viagens;93.39;6;28.017;588.357;27/03/2019;19:18;Débito;560.34;4.761.904.762;28.017;10
160;894-41-5205;C;Rio de Janeiro;Normal;Feminino;Alimentos e bebidas;43.18;8;17.272;362.712;19/01/2019;19:39;Crédito;345.44;4.761.904.762;17.272;8.3
161;275-28-0149;A;Belo Horizonte;Normal;Masculino;Esportes e viagens;63.69;1;31.845;668.745;25/02/2019;16:21;Dinheiro;63.69;4.761.904.762;31.845;6
162;101-17-6199;A;Belo Horizonte;Normal;Masculino;Alimentos e bebidas;45.79;7;160.265;3.365.565;13/03/2019;19:44;Crédito;320.53;4.761.904.762;160.265;7
163;423-80-0988;C;Rio de Janeiro;Normal;Masculino;Esportes e viagens;76.4;2;7.64;160.44;30/01/2019;19:42;Débito;152.8;4.761.904.762;7.64;6.5
164;548-46-9322;B;São Paulo;Normal;Masculino;Alimentos e bebidas;39.9;10;19.95;418.95;20/02/2019;15:24;Crédito;399;4.761.904.762;19.95;5.9
165;505-02-0892;B;São Paulo;Membro;Masculino;Saúde e beleza;42.57;8;17.028;357.588;25/02/2019;14:12;Débito;340.56;4.761.904.762;17.028;5.6
166;234-65-2137;C;Rio de Janeiro;Normal;Masculino;Casa e estilo de vida;95.58;10;47.79;1003.59;16/01/2019;13:32;Dinheiro;955.8;4.761.904.762;47.79;4.8
167;687-47-8271;A;Belo Horizonte;Normal;Masculino;Acessórios de moda;98.98;10;49.49;1039.29;08/02/2019;16:20;Crédito;989.8;4.761.904.762;49.49;8.7
168;796-32-9050;A;Belo Horizonte;Normal;Masculino;Alimentos e bebidas;51.28;6;15.384;323.064;19/01/2019;16:31;Dinheiro;307.68;4.761.904.762;15.384;6.5
169;105-31-1824;A;Belo Horizonte;Membro;Masculino;Esportes e viagens;69.52;7;24.332;510.972;01/02/2019;15:10;Crédito;486.64;4.761.904.762;24.332;8.5
170;249-42-3782;A;Belo Horizonte;Normal;Masculino;Saúde e beleza;70.01;5;175.025;3.675.525;03/01/2019;11:36;Débito;350.05;4.761.904.762;175.025;5.5
171;316-55-4634;B;São Paulo;Membro;Masculino;Alimentos e bebidas;80.05;5;200.125;4.202.625;26/01/2019;12:45;Crédito;400.25;4.761.904.762;200.125;9.4
172;733-33-4967;C;Rio de Janeiro;Normal;Masculino;Acessórios eletrônicos;20.85;8;8.34;175.14;03/03/2019;19:17;Dinheiro;166.8;4.761.904.762;8.34;6.3
173;608-27-6295;B;São Paulo;Membro;Masculino;Acessórios eletrônicos;52.89;6;15.867;333.207;19/01/2019;17:34;Crédito;317.34;4.761.904.762;15.867;9.8
174;414-12-7047;B;São Paulo;Normal;Masculino;Alimentos e bebidas;19.79;8;7.916;166.236;18/01/2019;12:04;Débito;158.32;4.761.904.762;7.916;8.7
175;827-26-2100;A;Belo Horizonte;Membro;Masculino;Casa e estilo de vida;33.84;9;15.228;319.788;21/03/2019;16:21;Débito;304.56;4.761.904.762;15.228;8.8
176;175-54-2529;A;Belo Horizonte;Membro;Masculino;Alimentos e bebidas;22.17;8;8.868;186.228;03/03/2019;17:01;Crédito;177.36;4.761.904.762;8.868;9.6
177;139-52-2867;C;Rio de Janeiro;Normal;Feminino;Acessórios de moda;22.51;7;78.785;1.654.485;13/02/2019;10:50;Crédito;157.57;4.761.904.762;78.785;4.8
178;407-63-8975;A;Belo Horizonte;Normal;Masculino;Alimentos e bebidas;73.88;6;22.164;465.444;23/03/2019;19:16;Débito;443.28;4.761.904.762;22.164;4.4
179;342-65-4817;C;Rio de Janeiro;Membro;Masculino;Saúde e beleza;86.8;3;13.02;273.42;28/01/2019;16:47;Débito;260.4;4.761.904.762;13.02;9.9
180;130-98-8941;C;Rio de Janeiro;Normal;Masculino;Acessórios de moda;64.26;7;22.491;472.311;09/02/2019;10:00;Dinheiro;449.82;4.761.904.762;22.491;5.7
181;434-83-9547;C;Rio de Janeiro;Membro;Masculino;Alimentos e bebidas;38.47;8;15.388;323.148;23/01/2019;11:51;Dinheiro;307.76;4.761.904.762;15.388;7.7
182;851-28-6367;A;Belo Horizonte;Membro;Masculino;Esportes e viagens;15.5;10;7.75;162.75;23/03/2019;10:55;Débito;155;4.761.904.762;7.75;8
183;824-88-3614;C;Rio de Janeiro;Normal;Masculino;Saúde e beleza;34.31;8;13.724;288.204;25/01/2019;15:00;Débito;274.48;4.761.904.762;13.724;5.7
184;586-25-0848;A;Belo Horizonte;Normal;Feminino;Esportes e viagens;12.34;7;4.319;90.699;04/03/2019;11:19;Crédito;86.38;4.761.904.762;4.319;6.7
185;895-66-0685;B;São Paulo;Membro;Masculino;Alimentos e bebidas;18.08;3;2.712;56.952;05/03/2019;19:46;Débito;54.24;4.761.904.762;2.712;8
186;305-14-0245;B;São Paulo;Membro;Feminino;Casa e estilo de vida;94.49;8;37.796;793.716;03/03/2019;19:00;Débito;755.92;4.761.904.762;37.796;7.5
187;732-04-5373;B;São Paulo;Membro;Masculino;Casa e estilo de vida;46.47;4;9.294;195.174;08/02/2019;10:53;Dinheiro;185.88;4.761.904.762;9.294;7
188;400-60-7251;A;Belo Horizonte;Normal;Masculino;Casa e estilo de vida;74.07;1;37.035;777.735;10/02/2019;12:50;Débito;74.07;4.761.904.762;37.035;9.9
189;593-65-1552;C;Rio de Janeiro;Normal;Feminino;Casa e estilo de vida;69.81;4;13.962;293.202;28/01/2019;20:50;Crédito;279.24;4.761.904.762;13.962;5.9
190;284-34-9626;B;São Paulo;Normal;Feminino;Casa e estilo de vida;77.04;3;11.556;242.676;11/02/2019;10:39;Crédito;231.12;4.761.904.762;11.556;7.2
191;437-58-8131;B;São Paulo;Normal;Feminino;Acessórios de moda;73.52;2;7.352;154.392;15/01/2019;13:41;Débito;147.04;4.761.904.762;7.352;4.6
192;286-43-6208;C;Rio de Janeiro;Normal;Feminino;Alimentos e bebidas;87.8;9;39.51;829.71;16/03/2019;19:08;Dinheiro;790.2;4.761.904.762;39.51;9.2
193;641-43-2399;B;São Paulo;Normal;Masculino;Casa e estilo de vida;25.55;4;5.11;107.31;26/01/2019;20:23;Débito;102.2;4.761.904.762;5.11;5.7
194;831-07-6050;A;Belo Horizonte;Normal;Masculino;Acessórios eletrônicos;32.71;5;81.775;1.717.275;19/03/2019;11:30;Crédito;163.55;4.761.904.762;81.775;9.9
195;556-86-3144;C;Rio de Janeiro;Membro;Feminino;Acessórios de moda;74.29;1;37.145;780.045;13/01/2019;19:30;Dinheiro;74.29;4.761.904.762;37.145;5
196;848-24-9445;C;Rio de Janeiro;Membro;Masculino;Saúde e beleza;43.7;2;4.37;91.77;26/03/2019;18:03;Dinheiro;87.4;4.761.904.762;4.37;4.9
197;856-22-8149;A;Belo Horizonte;Normal;Feminino;Casa e estilo de vida;25.29;1;12.645;265.545;23/03/2019;10:13;Débito;25.29;4.761.904.762;12.645;6.1
198;699-01-4164;C;Rio de Janeiro;Normal;Masculino;Saúde e beleza;41.5;4;8.3;174.3;12/03/2019;19:58;Crédito;166;4.761.904.762;8.3;8.2
199;420-11-4919;C;Rio de Janeiro;Membro;Feminino;Alimentos e bebidas;71.39;5;178.475;3.747.975;17/02/2019;19:57;Crédito;356.95;4.761.904.762;178.475;5.5
200;606-80-4905;C;Rio de Janeiro;Membro;Feminino;Esportes e viagens;19.15;6;5.745;120.645;29/01/2019;10:01;Crédito;114.9;4.761.904.762;5.745;6.8
201;542-41-0513;B;São Paulo;Membro;Feminino;Acessórios eletrônicos;57.49;4;11.498;241.458;15/03/2019;11:57;Dinheiro;229.96;4.761.904.762;11.498;6.6
202;426-39-2418;C;Rio de Janeiro;Normal;Masculino;Acessórios eletrônicos;61.41;7;214.935;4.513.635;14/01/2019;10:02;Dinheiro;429.87;4.761.904.762;214.935;9.8
203;875-46-5808;B;São Paulo;Membro;Masculino;Saúde e beleza;25.9;10;12.95;271.95;06/02/2019;14:51;Débito;259;4.761.904.762;12.95;8.7
204;394-43-4238;B;São Paulo;Membro;Masculino;Casa e estilo de vida;17.77;5;44.425;932.925;15/02/2019;12:42;Crédito;88.85;4.761.904.762;44.425;5.4
205;749-24-1565;A;Belo Horizonte;Normal;Feminino;Saúde e beleza;23.03;9;103.635;2.176.335;03/01/2019;12:02;Débito;207.27;4.761.904.762;103.635;7.9
206;672-51-8681;C;Rio de Janeiro;Membro;Feminino;Acessórios eletrônicos;66.65;9;299.925;6.298.425;04/01/2019;18:19;Crédito;599.85;4.761.904.762;299.925;9.7
207;263-87-5680;C;Rio de Janeiro;Membro;Feminino;Casa e estilo de vida;28.53;10;14.265;299.565;18/03/2019;17:38;Débito;285.3;4.761.904.762;14.265;7.8
208;573-58-9734;B;São Paulo;Normal;Feminino;Acessórios de moda;30.37;3;45.555;956.655;28/03/2019;13:41;Débito;91.11;4.761.904.762;45.555;5.1
209;817-69-8206;B;São Paulo;Normal;Feminino;Acessórios eletrônicos;99.73;9;448.785;9.424.485;02/03/2019;19:42;Crédito;897.57;4.761.904.762;448.785;6.5
210;888-02-0338;A;Belo Horizonte;Normal;Masculino;Acessórios eletrônicos;26.23;9;118.035;2.478.735;25/01/2019;20:24;Débito;236.07;4.761.904.762;118.035;5.9
211;677-11-0152;C;Rio de Janeiro;Normal;Feminino;Alimentos e bebidas;93.26;9;41.967;881.307;16/01/2019;18:08;Dinheiro;839.34;4.761.904.762;41.967;8.8
212;142-63-6033;B;São Paulo;Normal;Masculino;Casa e estilo de vida;92.36;5;23.09;484.89;20/03/2019;19:17;Débito;461.8;4.761.904.762;23.09;4.9
213;656-16-1063;B;São Paulo;Normal;Masculino;Esportes e viagens;46.42;3;6.963;146.223;04/01/2019;13:24;Crédito;139.26;4.761.904.762;6.963;4.4
214;891-58-8335;B;São Paulo;Membro;Feminino;Esportes e viagens;29.61;7;103.635;2.176.335;11/03/2019;15:53;Dinheiro;207.27;4.761.904.762;103.635;6.5
215;802-43-8934;A;Belo Horizonte;Normal;Masculino;Casa e estilo de vida;18.28;1;0.914;19.194;22/03/2019;15:05;Crédito;18.28;4.761.904.762;0.914;8.3
216;560-30-5617;B;São Paulo;Normal;Feminino;Esportes e viagens;24.77;5;61.925;1.300.425;24/03/2019;18:27;Dinheiro;123.85;4.761.904.762;61.925;8.5
217;319-74-2561;A;Belo Horizonte;Membro;Feminino;Acessórios eletrônicos;94.64;3;14.196;298.116;21/02/2019;16:55;Dinheiro;283.92;4.761.904.762;14.196;5.5
218;549-03-9315;B;São Paulo;Normal;Masculino;Acessórios de moda;94.87;8;37.948;796.908;12/02/2019;12:58;Débito;758.96;4.761.904.762;37.948;8.7
219;790-29-1172;B;São Paulo;Normal;Feminino;Alimentos e bebidas;57.34;3;8.601;180.621;10/03/2019;18:59;Crédito;172.02;4.761.904.762;8.601;7.9
220;239-36-3640;B;São Paulo;Normal;Masculino;Acessórios eletrônicos;45.35;6;13.605;285.705;31/01/2019;13:44;Débito;272.1;4.761.904.762;13.605;6.1
221;468-01-2051;B;São Paulo;Normal;Masculino;Alimentos e bebidas;62.08;7;21.728;456.288;06/03/2019;13:46;Débito;434.56;4.761.904.762;21.728;5.4
222;389-25-3394;C;Rio de Janeiro;Normal;Masculino;Acessórios eletrônicos;11.81;5;29.525;620.025;17/02/2019;18:06;Dinheiro;59.05;4.761.904.762;29.525;9.4
223;279-62-1445;C;Rio de Janeiro;Membro;Feminino;Acessórios de moda;12.54;1;0.627;13.167;21/02/2019;12:38;Dinheiro;12.54;4.761.904.762;0.627;8.2
224;213-72-6612;A;Belo Horizonte;Normal;Masculino;Alimentos e bebidas;43.25;2;4.325;90.825;20/03/2019;15:56;Dinheiro;86.5;4.761.904.762;4.325;6.2
225;746-68-6593;C;Rio de Janeiro;Membro;Feminino;Esportes e viagens;87.16;2;8.716;183.036;11/01/2019;14:29;Crédito;174.32;4.761.904.762;8.716;9.7
226;836-82-5858;B;São Paulo;Membro;Masculino;Saúde e beleza;69.37;9;312.165;6.555.465;26/01/2019;19:14;Débito;624.33;4.761.904.762;312.165;4
227;583-72-1480;C;Rio de Janeiro;Membro;Masculino;Acessórios eletrônicos;37.06;4;7.412;155.652;31/01/2019;16:24;Débito;148.24;4.761.904.762;7.412;9.7
228;466-61-5506;B;São Paulo;Membro;Feminino;Acessórios eletrônicos;90.7;6;27.21;571.41;26/02/2019;10:52;Dinheiro;544.2;4.761.904.762;27.21;5.3
229;721-86-6247;A;Belo Horizonte;Normal;Feminino;Casa e estilo de vida;63.42;8;25.368;532.728;11/03/2019;12:55;Débito;507.36;4.761.904.762;25.368;7.4
230;289-65-5721;B;São Paulo;Normal;Feminino;Acessórios de moda;81.37;2;8.137;170.877;26/01/2019;19:28;Dinheiro;162.74;4.761.904.762;8.137;6.5
231;545-46-3100;B;São Paulo;Membro;Feminino;Acessórios eletrônicos;10.59;3;15.885;333.585;12/03/2019;13:52;Crédito;31.77;4.761.904.762;15.885;8.7
232;418-02-5978;B;São Paulo;Normal;Feminino;Saúde e beleza;84.09;9;378.405;7.946.505;11/02/2019;10:54;Dinheiro;756.81;4.761.904.762;378.405;8
233;269-04-5750;B;São Paulo;Membro;Masculino;Acessórios de moda;73.82;4;14.764;310.044;21/02/2019;18:31;Dinheiro;295.28;4.761.904.762;14.764;6.7
234;157-13-5295;A;Belo Horizonte;Membro;Masculino;Saúde e beleza;51.94;10;25.97;545.37;09/03/2019;18:24;Débito;519.4;4.761.904.762;25.97;6.5
235;645-78-8093;A;Belo Horizonte;Normal;Feminino;Esportes e viagens;93.14;2;9.314;195.594;20/01/2019;18:09;Débito;186.28;4.761.904.762;9.314;4.1
236;211-30-9270;C;Rio de Janeiro;Normal;Masculino;Saúde e beleza;17.41;5;43.525;914.025;28/01/2019;15:16;Crédito;87.05;4.761.904.762;43.525;4.9
237;755-12-3214;C;Rio de Janeiro;Membro;Feminino;Acessórios de moda;44.22;5;11.055;232.155;05/03/2019;17:07;Crédito;221.1;4.761.904.762;11.055;8.6
238;346-84-3103;B;São Paulo;Membro;Feminino;Acessórios eletrônicos;13.22;5;3.305;69.405;02/03/2019;19:26;Dinheiro;66.1;4.761.904.762;3.305;4.3
239;478-06-7835;A;Belo Horizonte;Normal;Masculino;Acessórios de moda;89.69;1;44.845;941.745;11/01/2019;11:20;Débito;89.69;4.761.904.762;44.845;4.9
240;540-11-4336;A;Belo Horizonte;Normal;Masculino;Alimentos e bebidas;24.94;9;11.223;235.683;11/01/2019;16:49;Crédito;224.46;4.761.904.762;11.223;5.6
241;448-81-5016;A;Belo Horizonte;Normal;Masculino;Saúde e beleza;59.77;2;5.977;125.517;11/03/2019;12:01;Crédito;119.54;4.761.904.762;5.977;5.8
242;142-72-4741;C;Rio de Janeiro;Membro;Masculino;Acessórios de moda;93.2;2;9.32;195.72;28/02/2019;18:37;Crédito;186.4;4.761.904.762;9.32;6
243;217-58-1179;A;Belo Horizonte;Membro;Masculino;Casa e estilo de vida;62.65;4;12.53;263.13;05/01/2019;11:25;Dinheiro;250.6;4.761.904.762;12.53;4.2
244;376-02-8238;B;São Paulo;Normal;Masculino;Casa e estilo de vida;93.87;8;37.548;788.508;02/02/2019;18:42;Crédito;750.96;4.761.904.762;37.548;8.3
245;530-90-9855;A;Belo Horizonte;Membro;Masculino;Casa e estilo de vida;47.59;8;19.036;399.756;01/01/2019;14:47;Dinheiro;380.72;4.761.904.762;19.036;5.7
246;866-05-7563;B;São Paulo;Membro;Feminino;Acessórios eletrônicos;81.4;3;12.21;256.41;09/02/2019;19:43;Dinheiro;244.2;4.761.904.762;12.21;4.8
247;604-70-6476;A;Belo Horizonte;Membro;Masculino;Acessórios de moda;17.94;5;4.485;94.185;23/01/2019;14:04;Débito;89.7;4.761.904.762;4.485;6.8
248;799-71-1548;A;Belo Horizonte;Membro;Masculino;Acessórios eletrônicos;77.72;4;15.544;326.424;07/01/2019;16:11;Crédito;310.88;4.761.904.762;15.544;8.8
249;785-13-7708;B;São Paulo;Normal;Masculino;Alimentos e bebidas;73.06;7;25.571;536.991;14/01/2019;19:06;Crédito;511.42;4.761.904.762;25.571;4.2
250;845-51-0542;B;São Paulo;Membro;Masculino;Alimentos e bebidas;46.55;9;209.475;4.398.975;02/02/2019;15:34;Débito;418.95;4.761.904.762;209.475;6.4
251;662-47-5456;C;Rio de Janeiro;Membro;Masculino;Acessórios de moda;35.19;10;17.595;369.495;17/03/2019;19:06;Crédito;351.9;4.761.904.762;17.595;8.4
252;883-17-4236;C;Rio de Janeiro;Normal;Feminino;Esportes e viagens;14.39;2;1.439;30.219;02/03/2019;19:44;Crédito;28.78;4.761.904.762;1.439;7.2
253;290-68-2984;A;Belo Horizonte;Normal;Masculino;Casa e estilo de vida;23.75;4;4.75;99.75;16/03/2019;11:22;Dinheiro;95;4.761.904.762;4.75;5.2
254;704-11-6354;A;Belo Horizonte;Membro;Masculino;Casa e estilo de vida;58.9;8;23.56;494.76;06/01/2019;11:23;Dinheiro;471.2;4.761.904.762;23.56;8.9
255;110-48-7033;B;São Paulo;Membro;Masculino;Acessórios de moda;32.62;4;6.524;137.004;29/01/2019;14:12;Dinheiro;130.48;4.761.904.762;6.524;9
256;366-93-0948;A;Belo Horizonte;Membro;Masculino;Acessórios eletrônicos;66.35;1;33.175;696.675;31/01/2019;10:46;Crédito;66.35;4.761.904.762;33.175;9.7
257;729-09-9681;A;Belo Horizonte;Membro;Masculino;Casa e estilo de vida;25.91;6;7.773;163.233;05/02/2019;10:16;Débito;155.46;4.761.904.762;7.773;8.7
258;151-16-1484;A;Belo Horizonte;Membro;Masculino;Acessórios eletrônicos;32.25;4;6.45;135.45;13/02/2019;12:38;Débito;129;4.761.904.762;6.45;6.5
259;380-94-4661;C;Rio de Janeiro;Membro;Masculino;Acessórios eletrônicos;65.94;4;13.188;276.948;07/02/2019;13:05;Crédito;263.76;4.761.904.762;13.188;6.9
260;850-41-9669;A;Belo Horizonte;Normal;Feminino;Acessórios eletrônicos;75.06;9;33.777;709.317;19/03/2019;13:25;Débito;675.54;4.761.904.762;33.777;6.2
261;821-07-3596;C;Rio de Janeiro;Normal;Feminino;Acessórios de moda;16.45;4;3.29;69.09;07/03/2019;14:53;Débito;65.8;4.761.904.762;3.29;5.6
262;655-85-5130;B;São Paulo;Membro;Feminino;Acessórios de moda;38.3;4;7.66;160.86;13/03/2019;19:22;Dinheiro;153.2;4.761.904.762;7.66;5.7
263;447-15-7839;A;Belo Horizonte;Membro;Feminino;Esportes e viagens;22.24;10;11.12;233.52;09/02/2019;11:00;Dinheiro;222.4;4.761.904.762;11.12;4.2
264;154-74-7179;B;São Paulo;Normal;Masculino;Esportes e viagens;54.45;1;27.225;571.725;26/02/2019;19:24;Débito;54.45;4.761.904.762;27.225;7.9
265;253-12-6086;A;Belo Horizonte;Membro;Feminino;Esportes e viagens;98.4;7;34.44;723.24;12/03/2019;12:43;Crédito;688.8;4.761.904.762;34.44;8.7
266;808-65-0703;C;Rio de Janeiro;Normal;Masculino;Casa e estilo de vida;35.47;4;7.094;148.974;14/03/2019;17:22;Crédito;141.88;4.761.904.762;7.094;6.9
267;571-94-0759;B;São Paulo;Membro;Feminino;Alimentos e bebidas;74.6;10;37.3;783.3;08/01/2019;20:55;Dinheiro;746;4.761.904.762;37.3;9.5
268;144-51-6085;A;Belo Horizonte;Membro;Masculino;Casa e estilo de vida;70.74;4;14.148;297.108;05/01/2019;16:05;Crédito;282.96;4.761.904.762;14.148;4.4
269;731-14-2199;A;Belo Horizonte;Membro;Feminino;Casa e estilo de vida;35.54;10;17.77;373.17;04/01/2019;13:34;Débito;355.4;4.761.904.762;17.77;7
270;783-09-1637;B;São Paulo;Normal;Feminino;Esportes e viagens;67.43;5;168.575;3.540.075;06/03/2019;18:13;Débito;337.15;4.761.904.762;168.575;6.3
271;687-15-1097;C;Rio de Janeiro;Membro;Feminino;Saúde e beleza;21.12;2;2.112;44.352;03/01/2019;19:17;Dinheiro;42.24;4.761.904.762;2.112;9.7
272;126-54-1082;A;Belo Horizonte;Membro;Feminino;Casa e estilo de vida;21.54;9;9.693;203.553;07/01/2019;11:44;Crédito;193.86;4.761.904.762;9.693;8.8
273;633-91-1052;A;Belo Horizonte;Normal;Feminino;Casa e estilo de vida;12.03;2;1.203;25.263;27/01/2019;15:51;Dinheiro;24.06;4.761.904.762;1.203;5.1
274;477-24-6490;B;São Paulo;Normal;Feminino;Saúde e beleza;99.71;6;29.913;628.173;26/02/2019;16:52;Débito;598.26;4.761.904.762;29.913;7.9
275;566-19-5475;B;São Paulo;Normal;Masculino;Acessórios de moda;47.97;7;167.895;3.525.795;07/01/2019;20:52;Dinheiro;335.79;4.761.904.762;167.895;6.2
276;526-86-8552;C;Rio de Janeiro;Membro;Feminino;Casa e estilo de vida;21.82;10;10.91;229.11;07/01/2019;17:36;Dinheiro;218.2;4.761.904.762;10.91;7.1
277;376-56-3573;C;Rio de Janeiro;Normal;Feminino;Acessórios de moda;95.42;4;19.084;400.764;02/02/2019;13:23;Débito;381.68;4.761.904.762;19.084;6.4
278;537-72-0426;C;Rio de Janeiro;Membro;Masculino;Acessórios de moda;70.99;10;35.495;745.395;20/03/2019;16:28;Dinheiro;709.9;4.761.904.762;35.495;5.7
279;828-61-5674;A;Belo Horizonte;Membro;Masculino;Esportes e viagens;44.02;10;22.01;462.21;20/03/2019;19:57;Crédito;440.2;4.761.904.762;22.01;9.6
280;136-08-6195;A;Belo Horizonte;Normal;Feminino;Casa e estilo de vida;69.96;8;27.984;587.664;15/02/2019;17:01;Crédito;559.68;4.761.904.762;27.984;6.4
281;523-38-0215;C;Rio de Janeiro;Normal;Masculino;Casa e estilo de vida;37;1;1.85;38.85;06/03/2019;13:29;Crédito;37;4.761.904.762;1.85;7.9
282;490-29-1201;A;Belo Horizonte;Normal;Feminino;Esportes e viagens;15.34;1;0.767;16.107;06/01/2019;11:09;Dinheiro;15.34;4.761.904.762;0.767;6.5
283;667-92-0055;A;Belo Horizonte;Membro;Masculino;Saúde e beleza;99.83;6;29.949;628.929;04/03/2019;15:02;Débito;598.98;4.761.904.762;29.949;8.5
284;565-17-3836;A;Belo Horizonte;Membro;Feminino;Saúde e beleza;47.67;4;9.534;200.214;12/03/2019;14:21;Dinheiro;190.68;4.761.904.762;9.534;9.1
285;498-41-1961;B;São Paulo;Normal;Masculino;Saúde e beleza;66.68;5;16.67;350.07;20/02/2019;18:01;Dinheiro;333.4;4.761.904.762;16.67;7.6
286;593-95-4461;C;Rio de Janeiro;Membro;Masculino;Casa e estilo de vida;74.86;1;3.743;78.603;24/03/2019;14:49;Dinheiro;74.86;4.761.904.762;3.743;6.9
287;226-71-3580;C;Rio de Janeiro;Normal;Feminino;Esportes e viagens;23.75;9;106.875;2.244.375;31/01/2019;12:02;Dinheiro;213.75;4.761.904.762;106.875;9.5
288;283-79-9594;B;São Paulo;Normal;Feminino;Alimentos e bebidas;48.51;7;169.785;3.565.485;25/01/2019;13:30;Crédito;339.57;4.761.904.762;169.785;5.2
289;430-60-3493;A;Belo Horizonte;Membro;Feminino;Casa e estilo de vida;94.88;7;33.208;697.368;03/02/2019;14:38;Dinheiro;664.16;4.761.904.762;33.208;4.2
290;139-20-0155;B;São Paulo;Membro;Masculino;Acessórios eletrônicos;40.3;10;20.15;423.15;24/01/2019;17:37;Crédito;403;4.761.904.762;20.15;7
291;558-80-4082;C;Rio de Janeiro;Normal;Masculino;Acessórios eletrônicos;27.85;7;97.475;2.046.975;14/03/2019;17:20;Débito;194.95;4.761.904.762;97.475;6
292;278-97-7759;A;Belo Horizonte;Membro;Feminino;Acessórios eletrônicos;62.48;1;3.124;65.604;18/02/2019;20:29;Dinheiro;62.48;4.761.904.762;3.124;4.7
293;316-68-6352;A;Belo Horizonte;Membro;Feminino;Alimentos e bebidas;36.36;2;3.636;76.356;21/01/2019;10:00;Dinheiro;72.72;4.761.904.762;3.636;7.1
294;585-03-5943;B;São Paulo;Normal;Masculino;Saúde e beleza;18.11;10;9.055;190.155;13/03/2019;11:46;Débito;181.1;4.761.904.762;9.055;5.9
295;211-05-0490;C;Rio de Janeiro;Membro;Feminino;Acessórios eletrônicos;51.92;5;12.98;272.58;03/03/2019;13:42;Dinheiro;259.6;4.761.904.762;12.98;7.5
296;727-75-6477;C;Rio de Janeiro;Normal;Masculino;Acessórios eletrônicos;28.84;4;5.768;121.128;29/03/2019;14:44;Dinheiro;115.36;4.761.904.762;5.768;6.4
297;744-02-5987;A;Belo Horizonte;Membro;Masculino;Casa e estilo de vida;78.38;6;23.514;493.794;10/01/2019;14:16;Débito;470.28;4.761.904.762;23.514;5.8
298;307-83-9164;A;Belo Horizonte;Membro;Masculino;Casa e estilo de vida;60.01;4;12.002;252.042;25/01/2019;15:54;Dinheiro;240.04;4.761.904.762;12.002;4.5
299;779-06-0012;C;Rio de Janeiro;Membro;Feminino;Casa e estilo de vida;88.61;1;44.305;930.405;19/01/2019;10:21;Dinheiro;88.61;4.761.904.762;44.305;7.7
300;446-47-6729;C;Rio de Janeiro;Normal;Masculino;Acessórios de moda;99.82;2;9.982;209.622;02/01/2019;18:09;Crédito;199.64;4.761.904.762;9.982;6.7
301;573-10-3877;B;São Paulo;Membro;Masculino;Saúde e beleza;39.01;1;19.505;409.605;12/03/2019;16:46;Crédito;39.01;4.761.904.762;19.505;4.7
302;735-06-4124;C;Rio de Janeiro;Normal;Masculino;Alimentos e bebidas;48.61;1;24.305;510.405;25/02/2019;15:31;Dinheiro;48.61;4.761.904.762;24.305;4.4
303;439-54-7422;A;Belo Horizonte;Normal;Feminino;Acessórios eletrônicos;51.19;4;10.238;214.998;18/03/2019;17:15;Crédito;204.76;4.761.904.762;10.238;4.7
304;396-90-2219;B;São Paulo;Normal;Feminino;Acessórios eletrônicos;14.96;8;5.984;125.664;23/02/2019;12:29;Dinheiro;119.68;4.761.904.762;5.984;8.6
305;411-77-0180;A;Belo Horizonte;Membro;Masculino;Acessórios eletrônicos;72.2;7;25.27;530.67;26/03/2019;20:14;Débito;505.4;4.761.904.762;25.27;4.3
306;286-01-5402;A;Belo Horizonte;Normal;Feminino;Esportes e viagens;40.23;7;140.805;2.956.905;30/03/2019;13:22;Dinheiro;281.61;4.761.904.762;140.805;9.6
307;803-17-8013;A;Belo Horizonte;Membro;Feminino;Casa e estilo de vida;88.79;8;35.516;745.836;17/02/2019;17:09;Dinheiro;710.32;4.761.904.762;35.516;4.1
308;512-98-1403;A;Belo Horizonte;Membro;Feminino;Acessórios eletrônicos;26.48;3;3.972;83.412;21/03/2019;10:40;Débito;79.44;4.761.904.762;3.972;4.7
309;848-42-2560;A;Belo Horizonte;Normal;Feminino;Acessórios de moda;81.91;2;8.191;172.011;05/03/2019;17:43;Dinheiro;163.82;4.761.904.762;8.191;7.8
